Timestamp,"Do you want to be consider to win ₦2,000  airtime",Which of the following age groups do you fall into?,What is your marital status? ,What is your highest level of education?,Which one of the following best describes your current employment status?,Which of these range of monthly income do you belong?,Who in your household is responsible for the financial decisions?,"Do you have any dependents? By ‘dependent’, we mean ‘financially dependent’.","In terms of the property you live in, do you?",Where do you live?,What are your short-term financial goals (i.e. over the next two years)? Select all that apply,"Are you involved in informal money handling groups (e.g. informal savings groups, ajo, group lending)?",Have you ever taken out a loan?,Which of the following lending institutions are you aware of?,Which of the following have you taken a loan from?,What are the main reasons that would make you take out a loan?,What loan are you most likely to use for starting a new business?,Which of the following is the single biggest challenge when taking out a loan?,What data will you be willing to give out for credit scoring as part of your loan application process?,What are your biggest barriers to taking a loan?,What are the three most important qualities you look out for in a lender?,What is your preferred channel for taking out a loan?,"When thinking of lenders in Nigeria, which brand comes to mind first?",What are the main avenues you use to decide on which lender to go for?,What is your gender?,Identifier
44783.81868,Yes,40 - 44,Married,University education,Full-time employed,"N100,000 - N300,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,Lagos,"To be able to invest, To pay my rent, To pay my fees, To generate multiple sources of income, To secure my finances",No,Yes,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Microfinance Banks, Digital Lenders","To meet a cash gap before next pay day, Buying a home","Formal loan from a commercial bank, Micro financing, Family and friends","Providing collateral, High interest rates","Home address, Work information, Salary details, Bank statement, Guarantor details",I don’t have a barrier,"Interest rates, Fees and service charge, Brand of the lender, Convenience and customer service, Security, trust, and discretion",Mobile app,Renmoney,"Word of mouth referrals, Advertising, Social media",Male,nrqb4sd6sv
44779.72101,Yes,25 - 34,Married,Post-graduate education,Full-time employed,"N300,000 - N500,000",Myself only,Children under the age of 18,Rent the property,South West,"To grow my current business, To pay my rent, To pay my fees",No,Yes,Money Lenders,"Money Lenders, Digital Lenders","To pay for school fees, To expand your current business","Formal loan from a commercial bank, Micro financing, Digital lenders","Providing collateral, The risk of getting into debt","Home address, Work information, Bank statement, Guarantor details",Lack of the requirements to take out loan,"Speed, Fees and service charge, Brand of the lender",Mobile app,Carbon ,Social media,Male,9mglhap
44779.95867,Yes,25 - 34,Married,University education,Not working,"N0 - N50,000",My partner and I make joint decisions,None,Rent the property,North West,To grow my current business,Yes,No,Microfinance Banks,None,To start a new business,Micro financing,The risk of getting into debt,Bank statement,Lack of the requirements to take out loan,Longevity in the market,Mobile app,Lapo,Advertising,Male,bsltfb3
44780.72519,Yes,25 - 34,Married,University education,Self-employed,"N100,000 - N300,000",Myself only,Children under the age of 18,Rent the property,South West,To grow my current business,No,Yes,"Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative)","Informal Lenders (Ajo, Corporative)",To expand your current business,Informal lenders,Getting approval for the loan,"Home address, Bank statement, Guarantor details",I don’t have a barrier,"Speed, Interest rates, Fees and service charge",Mobile app,Microfinance,"Direct marketing, Face to face",Male,6ohk0h3
44780.54614,Yes,40 - 44,Married,College education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,Other dependents (other than those listed above),Own the property,Lagos,To grow my current business,No,Yes,Digital Lenders,Digital Lenders,To expand your current business,Digital lenders,High interest rates,Guarantor details,Fear of debt,Fees and service charge,Mobile app,Irorun,Direct marketing,Female,24h7c42
44780.53449,Yes,45 - 49,Married,University education,Full-time employed,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,South South,To have my own business,No,Yes,Finance Houses,Finance Houses,To start a new business,"Formal loan from a commercial bank, Digital lenders",Onboarding process,"Home address, Work information, Salary details",I don’t have a barrier,"Speed, Digital onboarding and experience, Fees and service charge",Mobile app,Fairmoney,Social media,Male,7ou15f9
44780.81748,Yes,18 - 24,Single,Post-graduate education,Self-employed,"N100,000 - N300,000",Myself only,None,Rent the property,South South,"To have my own business, To grow my current business",No,Yes,Commercial Banks,Commercial Banks,To expand your current business,Formal loan from a commercial bank,Getting approval for the loan,Bank statement,Fear of being embarrassed by the lender,"Security, trust, and discretion",Mobile app,Banks,Direct marketing,Male,wfmmdv5
44787.80848,Yes,25 - 34,Married,University education,Self-employed,"N50,000 - N100,000",Myself only,Children under the age of 18,Rent the property,Lagos,"To grow my current business, To increase the number of personal assets I own, To be able to invest, To pay my rent, To pay my fees, To invest more than I am already investing, To buy my first property, To generate multiple sources of income",No,No,"Commercial Banks, Money Lenders, Microfinance Banks",None,"To pay for a medical need, To pay for school fees, To start a new business, To expand your current business","Formal loan from a commercial bank, Micro financing, Digital lenders","High interest rates, Getting approval for the loan","Home address, Work information, Bank statement","Fear of debt, Lack of the requirements to take out loan, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Interest rates, Brand of the lender, Convenience and customer service, Financial stability, Financial assistance and coaching",Mobile app,Bank loan ,"Advertising, Direct marketing, Social media",Male,1rwzchs
44780.34621,Yes,25 - 34,Married,University education,Full-time employed,"N0 - N50,000",My partner and I make joint decisions,Children under the age of 18,Own the property,South South,"To grow my current business, To generate multiple sources of income",Yes,Yes,"Commercial Banks, Money Lenders, Microfinance Banks, Digital Lenders","Commercial Banks, Microfinance Banks, Digital Lenders",To expand your current business,"Formal loan from a commercial bank, Micro financing, Digital lenders","Providing collateral, High interest rates, Getting approval for the loan","Home address, Work information, Salary details, Guarantor details",I don’t have a barrier,"Speed, Digital onboarding and experience, Interest rates, Fees and service charge, Brand of the lender, Convenience and customer service, Security, trust, and discretion, Financial assistance and coaching",Mobile app,"Menacred, fairmoney blackcopper, ","Word of mouth referrals, Advertising, Social media",Female,0h6avbjuo0
44780.07001,Yes,18 - 24,Single,University education,Self-employed,"N0 - N50,000",My parents make the decision,None,Rent the property,Lagos,"To grow my current business, To secure my finances",No,Yes,"Commercial Banks, Microfinance Banks",Commercial Banks,"To meet a cash gap before next pay day, To pay for school fees, To start a new business, To expand your current business","Micro financing, Digital lenders, Family and friends","Onboarding process, High interest rates",Bank statement,I don’t have a barrier,"Speed, Fees and service charge, Financial stability, Security, trust, and discretion",Mobile app,Irorun.,"Word of mouth referrals, Direct marketing, Social media",Male,sfqdfhi
44780.72154,Yes,25 - 34,Single,University education,Student,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,South East,To generate multiple sources of income,No,Yes,"Commercial Banks, Money Lenders, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",Digital Lenders,"To meet a cash gap before next pay day, To expand your current business","Formal loan from a commercial bank, Digital lenders","Providing collateral, High interest rates, The risk of getting into debt","Home address, Work information, Salary details, Bank statement, Guarantor details","The instability of the economy, Fear of being embarrassed by the lender","Digital onboarding and experience, Interest rates, Convenience and customer service",Mobile app,Fairmoney,Direct marketing,Female,02qkay8
44779.70134,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Someone else makes the decision,None,Live with parents or guardian,South West,"To grow my current business, To increase the number of personal assets I own, To be able to invest, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances, To leave Nigeria",No,Yes,Digital Lenders,Digital Lenders,To meet a cash gap before next pay day,Formal loan from a commercial bank,"High interest rates, The risk of getting into debt, Getting approval for the loan","Work information, Salary details","Fear of debt, The instability of the economy, Lack of the requirements to take out loan, Fear of not having money to repay the loan","Speed, Interest rates, Convenience and customer service, Security, trust, and discretion",Mobile app,Lapo,Advertising,Female,h4rjbfu
44784.6709,Yes,25 - 34,Married,University education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,Partner/Spouse,Rent the property,North Central,To generate multiple sources of income,Yes,Yes,"Informal Lenders (Ajo, Corporative)","Informal Lenders (Ajo, Corporative)",To expand your current business,Digital lenders,High interest rates,Home address,I don’t have a barrier,Longevity in the market,Mobile app,Irorun loan app,Word of mouth referrals,Female,eiuob09
44779.7452,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,Parents,Own the property,Lagos,"To grow my current business, To increase the number of personal assets I own, To invest more than I am already investing, To generate multiple sources of income, To secure my finances",No,Yes,Digital Lenders,Digital Lenders,"To meet a cash gap before next pay day, To pay for a medical need",Informal lenders,"High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Bank statement","Lack of knowledge, e.g. I don’t know how to, Fear of debt, The instability of the economy, Lack of the requirements to take out loan, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Interest rates, Fees and service charge, Brand of the lender, Convenience and customer service, Longevity in the market, Financial stability, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Microfinance,Interest rate,Female,79ff0ce
44779.74371,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,None,Live with parents or guardian,South West,"To grow my current business, To increase the number of personal assets I own, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances",No,Yes,Digital Lenders,Microfinance Banks,To expand your current business,Digital lenders,"High interest rates, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details",Fear of being embarrassed by the lender,"Interest rates, Longevity in the market, Financial stability",Website,Irorun ,Word of mouth referrals,Female,y3rxjac
44781.33014,Yes,45 - 49,Married,Secondary education,Self-employed,"N300,000 - N500,000",My partner plays a small role but it is mostly up to me,Children under the age of 18,Rent the property,Abuja,"To grow my current business, To buy my first property, To generate multiple sources of income",No,Yes,Money Lenders,Money Lenders,"To pay for a medical need, To pay for school fees","Formal loan from a commercial bank, Micro financing, Digital lenders","High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details","Fear of debt, Fear of being embarrassed by the lender","Speed, Interest rates, Convenience and customer service, Financial stability, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Fair money ,"Advertising, Direct marketing, Face to face",Male,r77sv12
44791.36122,Yes,40 - 44,Married,University education,Self-employed,"N300,000 - N500,000",Myself only,Children 18yrs and older,Own the property,North West,To be able to invest,Yes,No,Digital Lenders,None,To expand your current business,Formal loan from a commercial bank,The risk of getting into debt,Home address,Fear of being embarrassed by the lender,Interest rates,Mobile app,K don’t know ,Social media,Female,88qsaaw
44780.9873,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,Parents,Rent the property,North Central,To have my own business,No,No,"Informal Lenders (Ajo, Corporative)",None,To expand your current business,Micro financing,High interest rates,Guarantor details,Fear of debt,Interest rates,Website,Banks ,Social media,Male,rn4ec8e
44779.83451,Yes,25 - 34,Single,University education,Student,"N0 - N50,000",My partner and I make joint decisions,Parents,Own the property,South South,To have my own business,No,Yes,Commercial Banks,Branch loan app,"To pay for school fees, To buy a phone or laptop, To start a new business",Formal loan from a commercial bank,Getting approval for the loan,Bank statement,"The instability of the economy, Lack of the requirements to take out loan","Speed, Interest rates, Fees and service charge",Mobile app,Branch loan app,"Direct marketing, Social media",Male,1ps1ioleda
44791.0442,Yes,25 - 34,Single,College education,Self-employed,"N0 - N50,000",My parents make the decision,Parents,Live with parents or guardian,Lagos,To pay my fees,Yes,No,"Commercial Banks, Money Lenders",None,To meet a cash gap before next pay day,Digital lenders,"Onboarding process, Providing collateral, High interest rates",Bank statement,I don’t have a barrier,Fees and service charge,Website,PalmPay ,Advertising,Male,ntng6x2
44783.39985,Yes,25 - 34,Single,University education,Full-time employed,"N0 - N50,000",Myself only,None,Own the property,Lagos,To grow my current business,No,Yes,Digital Lenders,None,To meet a cash gap before next pay day,Micro financing,High interest rates,"Home address, Guarantor details",Fear of being embarrassed by the lender,Speed,Mobile app,Opay,"Advertising, Direct marketing",Male,7grcmwt
44782.42548,Yes,40 - 44,Married,Post-graduate education,Full-time employed,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Own the property,Lagos,To have my own business,Yes,Yes,Money Lenders,Commercial Banks,To start a new business,Formal loan from a commercial bank,High interest rates,Home address,Fear of being embarrassed by the lender,"Speed, Interest rates, Security, trust, and discretion",Website,To be happy ,Direct marketing,Male,4w4kapnqx3
44780.30825,Yes,25 - 34,Married,University education,Full-time employed,"N100,000 - N300,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,Lagos,To grow my current business,Yes,Yes,Commercial Banks,Money Lenders,To pay for a medical need,Formal loan from a commercial bank,High interest rates,"Work information, Salary details, Bank statement",I don’t have a barrier,"Speed, Interest rates",Mobile app,Fair money ,"Advertising, Direct marketing, Social media",Male,dv00yhilzb
44783.72221,Yes,18 - 24,Single,Post-graduate education,Student,"N0 - N50,000",Myself only,Parents,Live rent-free,Lagos,"To be able to invest, To invest more than I am already investing, To generate multiple sources of income",Yes,Yes,Microfinance Banks,Microfinance Banks,To expand your current business,Formal loan from a commercial bank,Getting approval for the loan,"Home address, Work information, Salary details, Bank statement, Guarantor details",Lack of the requirements to take out loan,"Speed, Interest rates, Financial stability",Mobile app,Commercial banks ,Social media,Male,bqnul7b
44780.37372,Yes,25 - 34,Married,University education,Full-time employed,"N100,000 - N300,000",My partner and I make joint decisions,Children under the age of 18,Own the property,Lagos,"To have my own business, To be able to invest, To invest more than I am already investing, To generate multiple sources of income, To secure my finances",No,No,Digital Lenders,None,To start a new business,Digital lenders,High interest rates,"Home address, Work information, Salary details, Bank statement, Guarantor details",The instability of the economy,"Interest rates, Longevity in the market, Security, trust, and discretion",Website,Irorun,"Advertising, Direct marketing",Male,p2w52ei9zm
44780.389,Yes,25 - 34,Married,University education,Self-employed,"N100,000 - N300,000",My partner and I make joint decisions,Children under the age of 18,Own the property,Lagos,To grow my current business,Yes,Yes,Microfinance Banks,"Microfinance Banks, Digital Lenders, Informal Lenders (Ajo, Corporative)",To expand your current business,Digital lenders,High interest rates,Guarantor details,The instability of the economy,Interest rates,Mobile app,Renmony and Irorun,Advertising,Male,hcbbql5
44780.75834,Yes,25 - 34,Single,University education,Self-employed,"N50,000 - N100,000",Myself only,Parents,Live with parents or guardian,Lagos,To have my own business,Yes,Yes,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks",Commercial Banks,To start a new business,"Formal loan from a commercial bank, Micro financing, Digital lenders, Informal lenders","Onboarding process, Providing collateral, High interest rates, The risk of getting into debt","Home address, Work information, Bank statement, Guarantor details","Fear of debt, Lack of the requirements to take out loan, Fear of being embarrassed by the lender","Interest rates, Fees and service charge, Brand of the lender, Longevity in the market, Financial stability, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Access bank,"Word of mouth referrals, Advertising, Direct marketing, Social media",Male,61mam24
44782.47361,Yes,25 - 34,Married,Post-graduate education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,Lagos,To grow my current business,Yes,No,Microfinance Banks,Microfinance Banks,To expand your current business,Formal loan from a commercial bank,High interest rates,Bank statement,Fear of debt,"Interest rates, Convenience and customer service, Financial stability",Website,Spectar,Advertising,Female,0z527w7
44780.10768,Yes,25 - 34,Single,University education,Self-employed,"N100,000 - N300,000",My partner and I make joint decisions,Parents,Live with parents or guardian,North Central,"To grow my current business, To invest more than I am already investing, To secure my finances",Yes,No,"Informal Lenders (Ajo, Corporative)",None,To expand your current business,Formal loan from a commercial bank,Providing collateral,"Home address, Work information, Bank statement",I don’t have a barrier,Interest rates,Mobile app,None ,Advertising,Male,4f0swx7
44780.69214,Yes,25 - 34,Single,University education,Full-time employed,"N100,000 - N300,000",Myself only,Parents,Rent the property,South West,To be able to invest,No,No,"Commercial Banks, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",None,"To meet a cash gap before next pay day, To pay for a medical need","Formal loan from a commercial bank, Digital lenders","High interest rates, The risk of getting into debt","Home address, Work information, Salary details","Fear of debt, The instability of the economy, Fear of being embarrassed by the lender","Digital onboarding and experience, Interest rates, Financial stability",Mobile app,Irorun,"Advertising, Social media",Male,8w4z8wy
44781.19105,Yes,25 - 34,Single,University education,Part-time employed,"N100,000 - N300,000",Myself only,None,Own the property,Abuja,"To have my own business, To be able to invest, To generate multiple sources of income, To secure my finances, To leave Nigeria",Yes,Yes,"Commercial Banks, Digital Lenders","Commercial Banks, Digital Lenders",To expand your current business,Formal loan from a commercial bank,"Onboarding process, High interest rates, Getting approval for the loan",Home address,"Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Digital onboarding and experience, Security, trust, and discretion",Mobile app,Fairmoney,"Word of mouth referrals, Advertising, Social media",Male,qq61ptq
44779.8112,No,18 - 24,Single,University education,Self-employed,"N0 - N50,000",My parents make the decision,None,Live rent-free,Lagos,To grow my current business,No,Yes,"Informal Lenders (Ajo, Corporative)","Informal Lenders (Ajo, Corporative)",To expand your current business,Family and friends,Getting approval for the loan,Home address,Fear of debt,Financial stability,Mobile app,Irorun ,Word of mouth referrals,Female,6luv3ql1p0
44785.34791,Yes,18 - 24,Single,University education,Self-employed,"N0 - N50,000",Myself only,Parents,Rent the property,South West,"To grow my current business, To generate multiple sources of income",Yes,Yes,Commercial Banks,Commercial Banks,To expand your current business,Formal loan from a commercial bank,"Providing collateral, High interest rates",Salary details,"The instability of the economy, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Interest rates, Convenience and customer service, Financial assistance and coaching",Mobile app,Irorun,Social media,Female,ln0to10
44783.16511,Yes,40 - 44,Married,Secondary education,Full-time employed,"N50,000 - N100,000",Myself only,Children under the age of 18,Rent the property,Abuja,"To have my own business, To grow my current business, To increase the number of personal assets I own, To be able to invest, To pay my rent, To pay my fees, To invest more than I am already investing, To buy my first property, To generate multiple sources of income, To secure my finances, To leave Nigeria",Yes,Yes,Commercial Banks,Commercial Banks,To buy a phone or laptop,Digital lenders,"Providing collateral, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Salary details, Bank statement, Guarantor details","Fear of debt, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Brand of the lender, Financial stability, Security, trust, and discretion",Mobile app,Branch,"Word of mouth referrals, Face to face",Male,olpyacu
44780.69048,Yes,18 - 24,Single,University education,Self-employed,"N100,000 - N300,000",Myself only,None,Live rent-free,South South,To grow my current business,No,Yes,Money Lenders,Money Lenders,To expand your current business,Micro financing,The risk of getting into debt,Bank statement,I don’t have a barrier,"Fees and service charge, Financial stability, Security, trust, and discretion",Mobile app,Irorun,Social media,Female,a6dhb4m
44780.27944,Yes,40 - 44,Married,University education,Self-employed,"N50,000 - N100,000",Myself only,Children under the age of 18,Own the property,Lagos,To invest more than I am already investing,No,Yes,Commercial Banks,Microfinance Banks,To expand your current business,Family and friends,High interest rates,Bank statement,Fear of being embarrassed by the lender,Financial assistance and coaching,Mobile app,Ajo,Social media,Male,x27jp6k
44780.77258,Yes,45 - 49,Married,University education,Full-time employed,"N100,000 - N300,000",Myself only,None,Own the property,North Central,"To have my own business, To be able to invest, To invest more than I am already investing, To secure my finances",Yes,Yes,"Commercial Banks, Informal Lenders (Ajo, Corporative), Digital Lenders","Commercial Banks, Digital Lenders, Informal Lenders (Ajo, Corporative)","To meet a cash gap before next pay day, To expand your current business, For cash flow",Formal loan from a commercial bank,"Providing collateral, High interest rates, The risk of getting into debt, Getting approval for the loan","Work information, Salary details, Guarantor details","Fear of debt, The instability of the economy, Fear of being embarrassed by the lender","Speed, Interest rates, Fees and service charge, Brand of the lender, Convenience and customer service, Financial stability, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Fair Money,"Word of mouth referrals, Advertising, Social media",Male,dw0fn2ctw7
44780.4191,Yes,25 - 34,Single,University education,Full-time employed,"N0 - N50,000",Myself only,Children under the age of 18,Live with parents or guardian,North Central,"To have my own business, To grow my current business, To generate multiple sources of income",Yes,Yes,Money Lenders,Money Lenders,"To meet a cash gap before next pay day, To expand your current business","Formal loan from a commercial bank, Family and friends","Providing collateral, High interest rates, Getting approval for the loan",Salary details,"Fear of debt, Fear of being embarrassed by the lender","Speed, Interest rates, Fees and service charge, Convenience and customer service, Security, trust, and discretion",Branch,Commercial Banks ,"Advertising, Face to face",Male,jlja1z7
44781.54992,Yes,50 - 54,Married,Post-graduate education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,Children under the age of 18,Rent the property,South East,"To grow my current business, To invest more than I am already investing, To generate multiple sources of income",No,Yes,"Commercial Banks, Money Lenders, Microfinance Banks",Commercial Banks,To meet a cash gap before next pay day,Digital lenders,High interest rates,Home address,I don’t have a barrier,"Speed, Fees and service charge, Convenience and customer service",Mobile app,Lender cash,Word of mouth referrals,Female,90uxhwm
44787.45689,Yes,18 - 24,Single,University education,Part-time employed,"N0 - N50,000",Myself only,None,Own the property,Lagos,"To grow my current business, To increase the number of personal assets I own, To be able to invest, To invest more than I am already investing, To generate multiple sources of income, To secure my finances",No,No,"Commercial Banks, Microfinance Banks, Digital Lenders",None,To expand your current business,Digital lenders,Getting approval for the loan,"Home address, Work information, Salary details, Bank statement, Guarantor details",I don’t have a barrier,"Speed, Interest rates, Convenience and customer service",Website,Irorun,Social media,Male,71p431u
44779.8699,Yes,18 - 24,Single,University education,Part-time employed,"N0 - N50,000",Myself only,None,Live with parents or guardian,North Central,"To have my own business, To be able to invest, To generate multiple sources of income, To secure my finances",No,Yes,Digital Lenders,Digital Lenders,Make ends meet,Formal loan from a commercial bank,Getting approval for the loan,"Salary details, Bank statement","Fear of debt, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Interest rates, Brand of the lender, Financial stability, Security, trust, and discretion",Mobile app,Fairmoney,"Advertising, Social media",Male,wnu8af2
44782.35368,Yes,18 - 24,Married,College education,Self-employed,"N50,000 - N100,000",My partner and I make joint decisions,Other dependents (other than those listed above),Rent the property,Lagos,To generate multiple sources of income,Yes,Yes,"Informal Lenders (Ajo, Corporative)",Money Lenders,To expand your current business,Formal loan from a commercial bank,Onboarding process,Home address,I don’t have a barrier,"Fees and service charge, Security, trust, and discretion",Agent,Irorun,Social media,Female,2zzsi17
44779.68449,Yes,25 - 34,Married,University education,Full-time employed,"N0 - N50,000",My partner and I make joint decisions,Partner/Spouse,Own the property,South West,To grow my current business,Yes,Yes,"Commercial Banks, Money Lenders",Money Lenders,For cash flow,"Formal loan from a commercial bank, Micro financing",Getting approval for the loan,"Home address, Work information",Fear of being embarrassed by the lender,"Speed, Interest rates, Fees and service charge",Mobile app,Irorun,"Advertising, Social media, Face to face",Male,949ad8j
44780.56183,Yes,18 - 24,Single,University education,Student,"N0 - N50,000",My parents make the decision,Parents,Live with parents or guardian,Lagos,"To grow my current business, To increase the number of personal assets I own, To be able to invest",No,Yes,"Commercial Banks, Money Lenders, Microfinance Banks","Commercial Banks, Money Lenders","To pay for a medical need, To pay for school fees, To start a new business, To expand your current business, For cash flow","Formal loan from a commercial bank, Digital lenders, Family and friends","High interest rates, The risk of getting into debt, Getting approval for the loan","Work information, Salary details, Bank statement","Fear of debt, The instability of the economy, Lack of the requirements to take out loan, Fear of not having money to repay the loan","Speed, Interest rates, Fees and service charge, Financial stability, Security, trust, and discretion, Financial assistance and coaching",Mobile app,Irorun ,Face to face,Male,6oxwya3
44783.05013,Yes,25 - 34,Single,University education,Full-time employed,"N50,000 - N100,000",Myself only,None,Rent the property,Lagos,To generate multiple sources of income,Yes,Yes,"Commercial Banks, Money Lenders, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",Digital Lenders,"To meet a cash gap before next pay day, To buy a phone or laptop, To expand your current business","Micro financing, Digital lenders",Getting approval for the loan,"Home address, Work information",Fear of being embarrassed by the lender,"Speed, Interest rates, Convenience and customer service",Mobile app,Umba Loan,Reviews from playstore about the digital lender's apps,Male,yqu6hykkl5
44779.77092,Yes,40 - 44,Widowed,Post-graduate education,Self-employed,"Above N1,000,000",Myself only,Partner/Spouse,Rent the property,Lagos,To buy my first property,No,Yes,Commercial Banks,Commercial Banks,"To expand your current business, Buying a home","Formal loan from a commercial bank, Family and friends","Providing collateral, High interest rates, Getting approval for the loan","Home address, Work information, Bank statement","Lack of the requirements to take out loan, I don’t have a barrier","Speed, Interest rates, Convenience and customer service, Financial stability, Financial assistance and coaching",Mobile app,Renmoney ,"Word of mouth referrals, Face to face",Male,08xnqit
44779.70364,Yes,18 - 24,Single,University education,Part-time employed,"N0 - N50,000",Myself only,None,Live with parents or guardian,Abuja,To secure my finances,No,Yes,Digital Lenders,Digital Lenders,To meet a cash gap before next pay day,Micro financing,The risk of getting into debt,Bank statement,Fear of not having money to repay the loan,Financial assistance and coaching,Mobile app,Irorun ,Ease ,Male,ciz49vacy9
44779.69756,Yes,50 - 54,Single,University education,Full-time employed,"N100,000 - N300,000",Myself only,Other dependents (other than those listed above),Own the property,South South,"To be able to invest, To pay my fees, To buy my first property, To generate multiple sources of income",Yes,Yes,"Commercial Banks, Finance Houses, Microfinance Banks, Informal Lenders (Ajo, Corporative), Digital Lenders",Digital Lenders,"To meet a cash gap before next pay day, Buying a home","Formal loan from a commercial bank, Micro financing","Providing collateral, High interest rates, The risk of getting into debt, Getting approval for the loan","Home address, Work information, Salary details, Guarantor details",The instability of the economy,"Speed, Digital onboarding and experience, Interest rates, Fees and service charge, Brand of the lender, Convenience and customer service, Security, trust, and discretion, Financial assistance and coaching",Mobile app,They are all not so customer friendly,"Advertising, Social media",Male,kg1ovj9
44781.34652,Yes,25 - 34,Single,University education,Self-employed,"N0 - N50,000",Myself only,None,Live rent-free,Lagos,To grow my current business,Yes,Yes,"Informal Lenders (Ajo, Corporative)","Informal Lenders (Ajo, Corporative)",To expand your current business,"Micro financing, Informal lenders",Getting approval for the loan,"Home address, Work information, Guarantor details","The instability of the economy, Fear of being embarrassed by the lender","Security, trust, and discretion",Mobile app,Fairmoney or cooperative society,Advertising,Female,b9ll2vr
44780.21123,Yes,25 - 34,Married,Secondary education,Self-employed,"N0 - N50,000",Myself only,None,Rent the property,South East,To have my own business,No,No,Pravet worker ,Microfinance Banks,To meet a cash gap before next pay day,Digital lenders,Getting approval for the loan,Home address,Fear of not having money to repay the loan,Speed,Mobile app,Many,Direct marketing,Male,8j3ud89
44779.82742,Yes,25 - 34,Single,University education,Full-time employed,30000,Myself only,Parents,Rent the property,North East,To have my own business,Yes,No,Commercial Banks,None,To start a new business,Formal loan from a commercial bank,High interest rates,Home address,I don’t have a barrier,Interest rates,Through bank,Good loan.,Advertising,Male,njs1tpewn4
44780.97357,Yes,25 - 34,Single,University education,Self-employed,"N0 - N50,000",Myself only,Parents,Rent the property,North West,To invest more than I am already investing,No,Yes,Money Lenders,Money Lenders,To expand your current business,Digital lenders,"High interest rates, Getting approval for the loan",Home address,Fear of being embarrassed by the lender,"Speed, Convenience and customer service, Financial assistance and coaching",Mobile app,Mobile apps ,Advertising,Male,s38bafz
44779.74281,Yes,25 - 34,Married,University education,Full-time employed,"N100,000 - N300,000",Myself only,Parents,Rent the property,North West,"To grow my current business, To invest more than I am already investing, To buy my first property, To secure my finances",No,Yes,Money Lenders,Money Lenders,"To meet a cash gap before next pay day, To pay for a medical need","Formal loan from a commercial bank, Micro financing","High interest rates, The risk of getting into debt","Home address, Work information, Salary details, Bank statement, Guarantor details","Fear of debt, Lack of the requirements to take out loan, Fear of being embarrassed by the lender, Fear of not having money to repay the loan","Speed, Interest rates, Brand of the lender",Mobile app,High interest ,"Advertising, Social media",Male,e0pw943
44779.73383,Yes,40 - 44,Married,University education,Full-time employed,"N50,000 - N100,000",My partner plays a small role but it is mostly up to me,None,Rent the property,Lagos,To be able to invest,No,Yes,Digital Lenders,Microfinance Banks,To meet a cash gap before next pay day,Formal loan from a commercial bank,The risk of getting into debt,"Home address, Work information",Fear of debt,"Speed, Interest rates, Fees and service charge, Convenience and customer service",Mobile app,Fair money,Social media,Female,vmm1fnbu2z
